Name,Address,Price,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,GreenStar,FacilitiesAndServices,Description,City,Country
Aponiente,"Francisco Cossi Ochoa, El Puerto de Santa María, 11500, Spain",€€€€,"Creative, Innovative",-6.2164435,36.6033273,34606225859.0,https://guide.michelin.com/en/andalucia/el-puerto-de-santa-maria/restaurant/aponiente,https://www.aponiente.com/,3 Stars,1,"Air conditioning,Car park,Interesting wine list,Wheelchair access","Ángel León, whose restaurant is housed in a tide mill dating back two centuries, is known as “the chef of the sea” and any mention of him means wading into unchartered gastronomic waters! As he says himself, at Aponiente “the aim is to raise awareness, open people's minds and introduce them to new concepts that are impossible to find anywhere else”. Totally committed to sustainability, this is a chef who seeks to surprise diners with new techniques and ingredients (such as seafood sausages, plankton, bioluminescence, cooking with seawater etc), always honing a philosophy which revolves around recycling, making the most of what the natural estuaries have to offer and championing the salvaging of discarded fish. His contemporary cuisine, based around resources from both the Mediterranean and the Atlantic, provides further surprises on the dessert menu, on which dishes somehow manage to combine the maritime world with sweeter textures, hence unusual combinations such as moray eel mochi and tuna and chocolate.",El Puerto de Santa María,Spain
El Celler de Can Roca,"Can Sunyer 48, Girona, 17007, Spain",€€€€,Creative,2.807927,41.9932026,34972222157.0,https://guide.michelin.com/en/catalunya/girona/restaurant/el-celler-de-can-roca,http://www.cellercanroca.com,3 Stars,1,"Air conditioning,Car park,Interesting wine list,Wheelchair access","The Roca brothers like to say that their success is down to the balance struck in a metaphorical ""three-player game"", with Joan in charge of the savoury dishes, Josep as the sommelier and Jordi on dessert duty.But little matter how they go about winning diners over, their ultimate goal is to create a feast for the eyes, the palate and all of the senses. This is an exceptionally high-calibre restaurant that celebrates contrasts, memories, journeys... It is also characterised by a penchant for working with local produce, a focus on sustainability and the aim to ""raise awareness"" of the challenges posed by climate change. The spectacular appetisers are a tribute to the evolution of this establishment and its emblematic dishes!",Girona,Spain
Azurmendi,"Legina Auzoa, Larrabetzu, 48195, Spain",€€€€,Creative,-2.81454,43.26065,34944558359.0,https://guide.michelin.com/en/pais-vasco/larrabetzu/restaurant/azurmendi,http://www.azurmendi.restaurant,3 Stars,1,"Air conditioning,Car park,Great view,Interesting wine list,Wheelchair access","A flagship of the Biscayan fine dining scene and a leading light in the field of sustainability, Azurmendi is a shining example of how to work with the environment. It has adapted its architecture and produce, and integrated new technologies in its quest to become a responsible restaurant business that sets out to cook for a better future.Chef Eneko Atxa nurtures a sapling of the Tree of Gernika at the entrance of the restaurant in a manifestation of his desire to preserve the area's indigenous flora and fauna and safeguard the values of Basque culture. He proposes a creative and informative culinary experience that is dedicated to the conservation of endemic species. The ""Adarrak"" set menu comprises a fascinating overview (courses dubbed ""Welcome Picnic"", ""The Kitchen Table"", ""The Greenhouse"") and ends with a gift in the form of a complimentary bar of recycled soap!",Larrabetzu,Spain
Cenador de Amós,"Plaza del Sol, Villaverde de Pontones, 39793, Spain",€€€€,Modern Cuisine,-3.6988243,43.4124884,34942508243.0,https://guide.michelin.com/en/cantabria/villaverde-de-pontones/restaurant/cenador-de-amos,https://www.cenadordeamos.com/,3 Stars,1,"Air conditioning,Car park,Interesting wine list","Discover the secrets hidden in the Casa-Palacio Mazarrasa (1756), a thrilling mecca for foodies that certainly makes an impression! The culinary experience begins with welcome drinks and appetisers in the glass-paned pavilion or on the terrace, and culminates in elegant dining spaces with a rustic yet modern feel. Always sporting his trademark cap, chef Jesús Sánchez runs the restaurant with the invaluable support of wife Marián Martínez, who is charge of the front of house. He remains consistently loyal to local ingredients, seasonality and to a firm commitment to sustainability via his “30 Temporada” menu, which is a heartfelt tribute to his natural surroundings, his Cantabrian identity and its history, and all the painstaking research that has gone into every bite. The sourdough bread baked on the premises always receives fulsome praise!",Villaverde de Pontones,Spain
Martín Berasategui,"Loidi 4, Lasarte - Oria, 20160, Spain",€€€€,Creative,-2.0157211,43.2669352,34943366471.0,https://guide.michelin.com/en/pais-vasco/lasarte-oria/restaurant/martin-berasategui,http://www.martinberasategui.com/es/inicio,3 Stars,0,"Air conditioning,Car park,Interesting wine list,Terrace","As a subtle tribute to his father, Martín Berasategui has based the logo of his restaurant on his own handwritten signature, but he could well have his name up in gold lettering! This humble and jovial chef considers himself to be merely a “conveyor of happiness” who owes his success to the passion and effort that he always puts into his work, the unwavering support of his wife (Oneka Arregui) and, as he says himself, his incredible team. In this elegant space with no shortage of relaxing views of the surrounding countryside, diners can experience a hedonistic approach to cuisine. The à la carte and spectacular tasting menu combine the restaurant's signature dishes (caramelised millefeuille with smoked eel, foie gras, spring onion and green apple, first created in 1993) with entirely new creations (suckling lamb chop, liquid fritter, spicy carrots and fried bread), all of which are teeming with delicious nuances and always accompanied by artisan breads and delicious butters.",Lasarte - Oria,Spain
Atrio,"Plaza San Mateo 1, Cáceres, 10003, Spain",€€€€,Creative,-6.3713456,39.4730183,34927242928.0,https://guide.michelin.com/en/extremadura/cceres/restaurant/atrio,https://atriocaceres.com/,3 Stars,0,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus,Terrace,Wheelchair access","A temple of Spanish gastronomy that should be on the bucket list of every food-lover. Atrio exudes elegance, enthusiasm and sincerity, matched by impeccable service to enhance the experience to the full. Cáceres-born chef Toño Pérez is at the helm, conjuring up creative cuisine of the highest technical level on a single yet extensive tasting menu inspired by the Iberian pig and the natural bounty of Extremadura. He pays full respect to the DNA of local traditions by showcasing the myriad nuances of his native land (the courses inspired by his famous""happy pig"" tend to have highly evocative names). Make sure you take time to visit Atrio’s spectacular wine cellar, featuring labels and historic vintages that are almost impossible to come across anywhere else.",Cáceres,Spain
Quique Dacosta,"Rascassa 1, Dénia, 03700, Spain",€€€€,Creative,0.0852209,38.8537884,34965784179.0,https://guide.michelin.com/en/comunidad-valenciana/dnia/restaurant/quique-dacosta,https://www.quiquedacosta.es/,3 Stars,0,"Air conditioning,Interesting wine list","This restaurant reflects the personality of the eponymous chef, who was awarded the Gold Medal for Merit in the Fine Arts in 2020.""Can a flavour be beautiful?"" was the subject of a debate between artists in the documentary Cocinar Belleza (""Cooking Beauty""). Here, it has been thrust to the fore in an aesthetically enchanting tasting menu of the same name. Based on the iconic signature dishes of the house, it also includes other lesser-known creations, which, in the hands of this chef, are the source of unexpected details and harmonies of flavour. His philosophy is to champion nature and showcase the produce of the Mediterranean, always maintaining a clear commitment to the circular economy and even delivering the odd deliberately provocative dish as food for thought.",Dénia,Spain
Arzak,"Avenida Alcalde José Elosegi 273, Donostia / San Sebastián, 20015, Spain",€€€€,"Creative, Traditional Cuisine",-1.9490932,43.3214016,34943278465.0,https://guide.michelin.com/en/pais-vasco/es-donostia-san-sebastian/restaurant/arzak,http://www.arzak.es,3 Stars,0,"Air conditioning,Car park,Interesting wine list,Wheelchair access","This restaurant is a real institution in San Sebastián, having been MICHELIN-starred since 1974.Hospitality, history and modernity converge in the century-old family mansion in Alto de Miracruz. This culinary mecca is run by Juan Mari Arzak and his daughter Elena, an adroit chef, to whom he is in the process of handing the baton. Together, they have succeeded in perfectly combining the most surprising innovations with expertise rooted in Basque tradition. The creativity, presentation and intense flavours of the dishes are the result of experiments conducted in the ""the lab"", in the same building, where they work with a ""flavour workbench"" of more than 1 000 ingredients. Diners can opt for a complete tasting menu or a set menu with a choice of dishes.",Donostia / San Sebastián,Spain
Lasarte,"Mallorca 259, Barcelona, 08008, Spain",€€€€,Creative,2.1622018,41.3936278,34934453242.0,https://guide.michelin.com/en/catalunya/barcelona/restaurant/lasarte,https://www.restaurantlasarte.com/,3 Stars,0,"Air conditioning,Car park,Interesting wine list,Wheelchair access","Still unfamiliar with the gastronomic world of Martín Berasategui? It's unusual to find spin-offs that manage to live up to the standards set by the original, but that is exactly what has happened in this incredible restaurant, named after the town in which this chef has built his culinary empire. Here, Paolo Casagrande, the protégé of this San Sebastián culinary maestro, puts his own spin on exquisite dishes first conceived by his mentor, showcasing them in a more avant-garde setting (undulating ceilings that mimic waves, ethereal lamps that resemble jellyfish, golden tones etc). Whether you order from the à la carte or opt for one of several tasting menus, your experience is taken to the next level if you sit at the Chef's Table, an exclusive space where you can watch the chefs in action through a large window. One of our favourite dishes was the roasted virrey fish with clams pil-pil, velvet crab and champagne with a fine hazelnut cream and caviar.",Barcelona,Spain
Disfrutar,"Villarroel 163, Barcelona, 08036, Spain",€€€€,Creative,2.1530369,41.3879756,34933486896.0,https://guide.michelin.com/en/catalunya/barcelona/restaurant/disfrutar,https://www.disfrutarbarcelona.com/,3 Stars,0,"Air conditioning,Interesting wine list,Wheelchair access","This restaurant is characterised by the inventive spirit of the three chefs at the helm (Eduard Xatruch, Oriol Castro and Mateu Casañas), who have made creativity their watchword – clearly their time working alongside Ferran Adrià at El Bulli made a real impression! What's so special about this place? Firstly, the food itself is highly innovative, with the chefs playing with shapes, textures and flavours and exhibiting indisputable craftsmanship. In addition, a constant stream of innovations emerges from their laboratory, such as their “solid bubbles” or, even more remarkably, a “living table” that changes as the meal progresses (the latter experience is by prior reservation only). It could be said that, despite the superb ingredients on display, you probably come here more to enjoy the extraordinary overall experience and to admire the incredible expertise of Disfrutar’s chefs. Choose between two tasting menus: Classic, featuring the restaurant’s signature dishes (such as the multi-spherical pesto with smoked eel and pistachios); and Festival, which showcases its latest seasonal creations. One of the drinks pairing options is alcohol-free.",Barcelona,Spain
